Course #	Section #	Course Name	Instructor id	days	beg_tm	end_tm	Number of Slots	Seating type	 Whiteboard	 Chalkboard	 Computer/Laptop	 Sound System	 CD Player	 DVD Player	 Video Projector	 Hearing Assisted System	 Visual Optimizer	 Laptop Connectivity	 Network Connections	 Overhead Projector	 Podium	 Projector Screen	 TV/Monitors	 Piano
ENGL235	1	TOPICS LITERATURE AND CULTURE:SHAKESPEARE SEX AND GENDER	123456	--T-R--	1400	1550	30	group																
ENGL235	2	TOPICS LITERATURE AND CULTURE:Asian American Literature	123456	-M-W-F-	1200	1310	30	group																
ENGL270	1	CREATIVE WRITING	123456	--T-R--	1000	1150	30	group																
ENGL270	2	CREATIVE WRITING	123456	-M-W-F-	920	1030	30	group																
ENGL281	1	LITERATURE IN HISTORY I: The	123456	-M-W---	1800	1950	30	group																
ENGL282	1	LITERATURE IN HIST. II The Rise	123456	-M-W-F-	1040	1150	30	group																
ENGL283	1	LITERATURE IN HISTORY III	123456	--T-R--	800	950	30	group																
ENGL283	2	LITERATURE IN HISTORY III	123456	-M-W-F-	1320	1430	30	group																
ENGL304	1	METHODS OF LITERARY STUDY	123456	--T-R--	1000	1150	30	group																
ENGL350	1	STUDIES IN LANGUAGE:RHETORIC OF POLITICS	123456	-M-W---	1440	1630	30	group																
ENGL355	1	STUDIES IN BRITISH LITERATURE:RENAISSANCE DRAMA	123456	-M-W---	1440	1630	30	group																
ENGL355	2	STUDIES IN BRITISH LITERATURE:VICTORIAN ADAPTATIONS	123456	--T-R--	1200	1350	30	group																
ENGL365	1	STUDIES IN AMERICAN LITERATURE:SOUTHERN LITERATURE	123456	--T-R--	1400	1550	30	group																
ENGL365	2	STUDIES IN AMERICAN LITERATURE:WRIGHT BALDWIN ELLISON	123456	-M-W---	1440	1630	30	group																
ENGL380	1	STUDIES IN WORLD LIT:YEATS MISHIMA & JAPANESE NOH	123456	--T-R--	1400	1550	30	group																
ENGL390	1	TOPICS IN LITERATURE:MULTICULTURAL VOICES	123456	--T-R--	1400	1550	30	group																
ENGL395	1	TOPICS IN WRITING:ADVANCED CREATIVE NON-FICTION	123456	--T-R--	1800	1950	30	group																
ENGL395	2	TOPICS IN WRITING:ADVANCED POETRY	123456	--T-R--	1200	1350	30	group																
ENGL410	1	STUDIES IN AUTHORS:WRIGHT BALDWIN ELLISON	123456	-M-W---	1440	1630	30	group																
ENGL420	1	STUDIES IN THEORY:THEORIES OF THE READER	123456	-M-W-F-	1200	1310	30	group																
ENST100	1	INTRO TO ENVIRONMENTAL STUDIES	123456	-M-W-F-	1040	1150	30	group																
ENST100	2	INTRO TO ENVIRONMENTAL STUDIES	123456	-M-W---	1440	1630	30	group																
ENST245	1	TOPICS IN ENVIRONMENTAL STUDIES:Environmental Studies Toolkit	123456	-M-W---	1800	1950	30	group																
ENST382	1	GIS APPLICATIONS	123456	-M-W---	1440	1630	30	group																
ENST385	1	ADVANCED TOPICS IN ENVIRONMENTAL	123456	-M-W-F-	920	1030	30	group																
ENST390	1	APPLIED SUSTAINABILITY PRACTICUM	123456	--T-R--	920	1150	30	group																
ENST490	1	ENVIRONMENTAL KEYSTONE SEMINAR	123456	--T-R--	1400	1550	30	group																
ENST493	1	ST. MARY'S PROJECT	123456	-----F-	1440	1630	30	group																
ENST493	2	ST. MARY'S PROJECT	123456	--T-R--	1200	1350	30	group																
HIST104	1	HIST FOUND MODERN WORLD TO 1450	123456	-M-W-F-	800	910	30	group																
